,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-520d,hsa-mir-520d,grey,0.065901845,0.413709626,0.095149298,0.237388569,0.145956894,0.069050614,0.645024636,1.01E-19
hsa-mir-449b,hsa-mir-449b,grey,0.065666258,0.415384566,-0.022566203,0.779768599,0.088748563,0.270579137,-0.047975123,0.552022264
hsa-mir-1254,hsa-mir-1254,grey,-0.065518996,0.41643356,0.033735893,0.675880281,0.165586095,0.038845523,0.084218725,0.295888951
hsa-mir-519b,hsa-mir-519b,grey,0.065308117,0.417938411,0.000575956,0.994306476,0.167311023,0.03682975,0.259234315,0.001083701
hsa-mir-1292,hsa-mir-1292,grey,-0.065118063,0.419297372,0.048622771,0.546661244,0.106444832,0.185980477,0.172714913,0.031076688
hsa-mir-516a-1,hsa-mir-516a-1,grey,0.064867196,0.42109509,-0.020155163,0.80278945,0.092156216,0.252536436,0.314069357,6.53E-05
hsa-mir-1276,hsa-mir-1276,grey,-0.064841496,0.42127951,0.059760035,0.458655665,0.096059329,0.232911634,0.086009811,0.285699998
hsa-mir-133a-1,hsa-mir-133a-1,grey,0.064796014,0.421605999,0.070962234,0.3786967,0.103192675,0.199865272,0.01238675,0.878026001
hsa-mir-891b,hsa-mir-891b,grey,-0.06477814,0.421734351,0.177057528,0.027024591,0.209810976,0.00856895,0.1640225,0.040752187
hsa-mir-3126,hsa-mir-3126,grey,0.064588619,0.423096626,0.023614558,0.769816875,0.158935538,0.04750675,0.059605147,0.459823104
hsa-mir-3678,hsa-mir-3678,grey,-0.064494761,0.423772225,0.207129913,0.009474398,0.260802993,0.001007839,0.04663301,0.56321254
hsa-mir-4286,hsa-mir-4286,grey,-0.06437756,0.424616723,0.130164849,0.105322261,0.290679584,0.000232139,0.185448079,0.020462406
hsa-mir-584,hsa-mir-584,grey,0.063769882,0.429010964,-0.006441926,0.936385697,0.215862048,0.006801366,0.112208637,0.163129744
hsa-mir-3152,hsa-mir-3152,grey,0.063498909,0.430978833,0.116144114,0.148777276,0.180290028,0.024309661,0.062279622,0.439897468
hsa-mir-3145,hsa-mir-3145,grey,0.06345735,0.431281101,0.028049886,0.728145311,0.1312811,0.102344714,0.004754424,0.953027395
hsa-mir-1291,hsa-mir-1291,grey,0.063396835,0.43172146,0.095388599,0.236205528,0.191926254,0.016384466,0.126235511,0.116347887
hsa-mir-3121,hsa-mir-3121,grey,0.063149944,0.433520718,-0.032350263,0.68848638,0.003377536,0.966621265,0.067107495,0.405200035
hsa-mir-544,hsa-mir-544,grey,0.063149944,0.433520718,0.0552444,0.493358856,0.023246092,0.773310431,0.016373771,0.839231037
hsa-mir-517a,hsa-mir-517a,grey,0.063002316,0.434598627,0.151504543,0.059027875,0.241095214,0.002430082,0.8588562,1.34E-46
hsa-mir-517b,hsa-mir-517b,grey,0.063002316,0.434598627,0.151504543,0.059027875,0.241095214,0.002430082,0.8588562,1.34E-46
hsa-mir-3133,hsa-mir-3133,grey,-0.062530111,0.438056727,-0.020453989,0.799926569,0.023573645,0.770204557,-0.046830691,0.561557531
